Part Name,Quantity,Estimated Cost (USD),Supplier,Link,Notes
Arduino Micro,1,10,AliExpress,https://www.aliexpress.com/item/1005006160273196.html,Built-in USB HID
8mm x 200mm Steel Rods,8,40,AliExpress,https://www.aliexpress.com/item/1005001380920260.html,Yoke + linear motion axis
30x42x7 Bearings,6,20,AliExpress,https://www.aliexpress.com/item/1005007420073930.html,Bearing rollers
LM8UU Linear Bearings,6,5.5,AliExpress,https://www.aliexpress.com/item/1005007009945187.html,Pack of 10
V-Slot Bearings,12,9,AliExpress,https://www.aliexpress.com/item/1005005890959821.html,Pack of 12
3/8 x 7/8 Bearings,2,3,—,—,General hardware store item
Potentiometers,8,5,AliExpress,https://www.aliexpress.com/item/32908524525.html,Axis + controls
Toggle Switches,2–3,5,AliExpress,https://www.aliexpress.com/item/1005008304283071.html,For control panel
Push Buttons,4–5,5,AliExpress,https://www.aliexpress.com/item/1005001995455752.html,Inputs for controller
Mounting Hubs (6mm),2,12,AliExpress,https://www.aliexpress.com/item/1005002439971089.html,For pot shaft connection
Wiring + Connectors,—,15,Local/Other,—,Misc wiring & connector stuff
3D printing ,—,—,Printing legion,—,
Aluminum Angle,1 set,15,AliExpress,https://www.aliexpress.com/item/1005003428294239.html,Structural rig support
Total Estimated Cost,—,144.5,—,—,?? approx 150$ 
